region	.1 Percentile	99.9 Percentile	Mean	Total
DDX11L1	0.26293	4.58799	1.6543	1286
WASH7P	0.26293	4.58799	1.6543	1286
MIR6859-1	0.26293	4.58799	1.6543	1286
MIR1302-2HG	0.26293	4.58799	1.6543	1286
MIR1302-2	0.26293	4.58799	1.6543	1286
FAM138A	0.26293	4.58799	1.6543	1286
OR4F5	0.018	5.69918	1.85816	1286
LOC124903816	0.1107	4.80777	1.81382	1286
LOC124900384	0.86994	3.70908	2.11529	1286
LOC729737	0.86994	3.70908	2.11529	1286
LOC124903814	0.72626	2.83217	1.64902	1286
DDX11L17	0.98638	3.91131	2.36076	1286
WASH9P	1.1879	5.1735	3.07244	1286
MIR6859-2	1.1879	5.1735	3.07244	1286
LOC127239154	0.4775	4.08724	1.94253	1286
LOC124903815	0.4775	4.08724	1.94253	1286
LOC124900618	0.1317	3.94826	1.56236	1286
LOC112268260	0.1317	3.94826	1.56236	1286
OR4F29	0.1317	3.94826	1.56236	1286
LOC100132287	0.35293	2.21115	1.16271	1286
LOC124904706	0.35293	2.21115	1.16271	1286
LOC105378947	0.27877	2.78324	1.41182	1286
LOC101928626	0.92317	93.65608	29.31726	1286
MIR12136	0.17899	92.1524	29.81805	1286
OR4F16	0.19914	3.1733	1.67082	1286
LOC100288069	0.58083	3.57597	1.86963	1286
LINC01409	1.10657	4.17213	2.08658	1286
LOC124903817	1.03131	4.12402	2.0344	1286
FAM87B	0.88365	3.30359	1.754	1286
LINC00115	0.90617	3.56652	1.97376	1286
LINC01128	1.01005	3.70214	2.06555	1286
LOC107984850	1.00316	4.06598	2.05481	1286
FAM41C	0.9963	3.96411	2.00615	1286
LOC284600	1.79063	3.14988	2.01884	1286
LINC02593	1.8208	2.42316	2.10762	1286
LOC107985728	1.74493	2.26159	1.99053	1286
SAMD11	1.80716	2.16087	1.99791	1286
NOC2L	1.91051	2.27215	2.08831	1286
KLHL17	1.78928	2.27086	2.02281	1286
PLEKHN1	1.81606	2.24215	2.05467	1286
PERM1	1.76791	2.28086	2.04339	1286
HES4	1.68574	2.60843	2.17385	1286
ISG15	1.54175	2.48872	2.00154	1286
AGRN	1.69261	2.17944	1.96498	1286
LOC100288175	1.62863	2.29859	2.04771	1286
LOC105378948	1.77613	2.4529	2.11016	1286
RNF223	1.77831	2.43858	2.14075	1286
C1orf159	1.75491	2.28429	2.07562	1286
LOC124903819	1.82839	2.40618	2.10479	1286
LOC124903820	1.74351	2.19102	2.0205	1286
LINC01342	1.59851	2.09672	1.89341	1286
LOC124903818	1.86707	2.38172	2.15858	1286
MIR200B	1.70083	2.83104	2.28929	1286
MIR200A	1.53609	2.76001	2.16401	1286
