region	.1 Percentile	99.9 Percentile	Mean	Total
DDX11L1	0.35108	4.24621	1.66754	1283
WASH7P	0.35108	4.24621	1.66754	1283
MIR6859-1	0.35108	4.24621	1.66754	1283
MIR1302-2HG	0.35108	4.24621	1.66754	1283
MIR1302-2	0.35108	4.24621	1.66754	1283
FAM138A	0.35108	4.24621	1.66754	1283
OR4F5	0.01177	5.75359	1.85484	1283
LOC124903816	0.14613	5.31073	1.81068	1283
LOC124900384	0.67328	3.79393	2.10077	1283
LOC729737	0.67328	3.79393	2.10077	1283
LOC124903814	0.62926	2.70372	1.63361	1283
DDX11L17	0.97003	3.68085	2.34311	1283
WASH9P	1.13184	5.25378	3.0526	1283
MIR6859-2	1.13184	5.25378	3.0526	1283
LOC127239154	0.54415	4.18922	1.98673	1283
LOC124903815	0.54415	4.18922	1.98673	1283
LOC124900618	0.12464	4.09523	1.61153	1283
LOC112268260	0.12464	4.09523	1.61153	1283
OR4F29	0.12464	4.09523	1.61153	1283
LOC100132287	0.32146	2.12567	1.15506	1283
LOC124904706	0.32146	2.12567	1.15506	1283
LOC105378947	0.23567	2.73003	1.39614	1283
LOC101928626	0.03126	88.79284	29.3377	1283
MIR12136	1.09399	95.69713	30.28219	1283
OR4F16	0.26548	2.80818	1.65844	1283
LOC100288069	0.65349	3.6798	1.87025	1283
LINC01409	1.18036	4.132	2.09256	1283
LOC124903817	1.13661	4.0429	2.04452	1283
FAM87B	1.34138	3.33704	1.75956	1283
LINC00115	1.54203	3.57392	1.98069	1283
LINC01128	1.43713	3.73146	2.07109	1283
LOC107984850	1.62679	4.09962	2.05574	1283
FAM41C	1.77754	4.01116	2.01177	1283
LOC284600	1.81592	3.20918	2.01933	1283
LINC02593	1.75077	2.45733	2.11208	1283
LOC107985728	1.73651	2.28531	1.99271	1283
SAMD11	1.78795	2.15615	1.99957	1283
NOC2L	1.88972	2.26687	2.08635	1283
KLHL17	1.77803	2.23987	2.02042	1283
PLEKHN1	1.84415	2.23944	2.05111	1283
PERM1	1.78403	2.31821	2.04317	1283
HES4	1.74815	2.65339	2.17419	1283
ISG15	1.56297	2.54713	2.01183	1283
AGRN	1.75792	2.12762	1.9628	1283
LOC100288175	1.80279	2.26459	2.04539	1283
LOC105378948	1.8029	2.41721	2.11008	1283
RNF223	1.78205	2.45046	2.13781	1283
C1orf159	1.83518	2.26687	2.07584	1283
LOC124903819	1.81495	2.38113	2.10854	1283
LOC124903820	1.77941	2.20162	2.01683	1283
LINC01342	1.42484	2.08359	1.88955	1283
LOC124903818	1.91426	2.38367	2.15522	1283
MIR200B	1.63874	2.84551	2.27588	1283
MIR200A	1.61246	2.73216	2.16435	1283
MIR429	1.7109	2.83316	2.26998	1283
TTLL10-AS1	1.78051	2.36618	2.10463	1283
TTLL10	1.76318	2.309	2.0697	1283
TNFRSF18	1.80731	2.49844	2.18943	1283
TNFRSF4	1.76818	2.41474	2.10895	1283
SDF4	1.78069	2.40559	2.15789	1283
B3GALT6	1.85003	2.56328	2.19362	1283
C1QTNF12	1.77215	2.35836	2.02914	1283
