region	.1 Percentile	99.9 Percentile	Mean	Total
DDX11L1	0.26496	4.25316	1.66091	2569
WASH7P	0.26496	4.25316	1.66091	2569
MIR6859-1	0.26496	4.25316	1.66091	2569
MIR1302-2HG	0.26496	4.25316	1.66091	2569
MIR1302-2	0.26496	4.25316	1.66091	2569
FAM138A	0.26496	4.25316	1.66091	2569
OR4F5	0.01254	5.77246	1.85651	2569
LOC124903816	0.11339	5.22122	1.81225	2569
LOC124900384	0.69463	3.77442	2.10804	2569
LOC729737	0.69463	3.77442	2.10804	2569
LOC124903814	0.62951	2.82142	1.64133	2569
DDX11L17	0.96734	3.82736	2.35195	2569
WASH9P	1.12457	5.24406	3.06253	2569
MIR6859-2	1.12457	5.24406	3.06253	2569
LOC127239154	0.48199	4.18389	1.9646	2569
LOC124903815	0.48199	4.18389	1.9646	2569
LOC124900618	0.12528	4.07835	1.58691	2569
LOC112268260	0.12528	4.07835	1.58691	2569
OR4F29	0.12528	4.07835	1.58691	2569
LOC100132287	0.32493	2.18923	1.15889	2569
LOC124904706	0.32493	2.18923	1.15889	2569
LOC105378947	0.23734	2.78251	1.40399	2569
LOC101928626	0.03151	92.37785	29.32747	2569
MIR12136	0.29215	94.4763	30.04985	2569
OR4F16	0.18911	3.10106	1.66464	2569
LOC100288069	0.58365	3.6735	1.86994	2569
LINC01409	1.10451	4.17174	2.08956	2569
LOC124903817	1.03079	4.10778	2.03946	2569
FAM87B	0.89828	3.35998	1.75678	2569
LINC00115	0.91233	3.58937	1.97722	2569
LINC01128	1.02108	3.72114	2.06832	2569
LOC107984850	1.0183	4.10818	2.05528	2569
FAM41C	1.00258	4.01448	2.00895	2569
LOC284600	1.79319	3.18496	2.01908	2569
LINC02593	1.76029	2.45362	2.10985	2569
LOC107985728	1.73703	2.27589	1.99162	2569
SAMD11	1.79039	2.16002	1.99874	2569
NOC2L	1.89216	2.27102	2.08733	2569
KLHL17	1.77905	2.26005	2.02162	2569
PLEKHN1	1.81811	2.24086	2.05289	2569
PERM1	1.76739	2.31334	2.04328	2569
HES4	1.69446	2.63486	2.17402	2569
ISG15	1.54265	2.49875	2.00668	2569
AGRN	1.70121	2.17491	1.96389	2569
LOC100288175	1.64724	2.29123	2.04655	2569
LOC105378948	1.77626	2.44187	2.11012	2569
RNF223	1.77526	2.45037	2.13928	2569
C1orf159	1.76081	2.28259	2.07573	2569
LOC124903819	1.81611	2.4031	2.10666	2569
LOC124903820	1.74402	2.19916	2.01867	2569
LINC01342	1.44787	2.09643	1.89148	2569
LOC124903818	1.87387	2.38589	2.1569	2569
MIR200B	1.6435	2.84916	2.28259	2569
MIR200A	1.54211	2.75802	2.16418	2569
MIR429	1.71746	2.84216	2.27511	2569
TTLL10-AS1	1.73284	2.37262	2.10521	2569
TTLL10	1.76537	2.3073	2.07051	2569
TNFRSF18	1.77696	2.51289	2.19147	2569
TNFRSF4	1.761	2.4265	2.11163	2569
SDF4	1.73712	2.43359	2.15902	2569
B3GALT6	1.7265	2.55242	2.19121	2569
C1QTNF12	1.72068	2.36259	2.02946	2569
UBE2J2	1.84524	2.50791	2.16514	2569
LINC01786	1.74835	2.47832	2.1249	2569
SCNN1D	1.77554	2.39943	2.07858	2569
ACAP3	1.84551	2.45648	2.08762	2569
MIR6726	1.70692	2.93264	2.32183	2569
SNORD167	1.53814	2.60405	2.05702	2569
PUSL1	1.75488	2.45186	2.1151	2569
INTS11	1.77208	2.3531	2.03441	2569
MIR6727	1.57311	2.836	2.20969	2569
CPTP	1.84714	2.57512	2.18605	2569
